+----------+----------------+-------------------------------------------------------+-------------------+--------------+------------------+-------------+--------------------+----------------+--------------------+-------------+----------+--------------------+
| page_id  | page_namespace | page_title                                            | page_restrictions | page_counter | page_is_redirect | page_is_new | page_random        | page_touched   | page_links_updated | page_latest | page_len | page_content_model |
| 28806676 |              1 | Q1040258                                              |                   |            0 |                0 |           0 |     0.798293505295 | 20160917190101 | 20160917190102     |   377049309 |     2155 | wikitext           |
| 16863911 |              1 | Q10405389                                             |                   |            0 |                0 |           0 |        0.055949696 | 20150717072517 | NULL               |    89328340 |       40 | wikitext           |
| 18478573 |              1 | Q1040953                                              |                   |            0 |                0 |           0 |     0.119488035659 | 20160804000547 | 20160804000717     |   129764334 |      763 | wikitext           |
| 16918795 |              1 | Q1041343                                              |                   |            0 |                0 |           1 |      0.01121603777 | 20131203051256 | NULL               |    91304531 |      586 | wikitext           |
| 16879001 |              1 | Q10416948                                             |                   |            0 |                0 |           1 |      0.42328214351 | 20150717072517 | NULL               |    89331360 |       40 | wikitext           |
| 16879007 |              1 | Q10416959                                             |                   |            0 |                0 |           1 |     0.067595360842 | 20150717072517 | NULL               |    89331885 |       40 | wikitext           |
| 16879012 |              1 | Q10416970                                             |                   |            0 |                0 |           1 |     0.715009868355 | 20150717072517 | NULL               |    89332255 |       40 | wikitext           |
| 16879013 |              1 | Q10416972                                             |                   |            0 |                0 |           1 |     0.451917005259 | 20150717072517 | NULL               |    89332370 |       40 | wikitext           |
| 16879014 |              1 | Q10416979                                             |                   |            0 |                0 |           1 |     0.948399073972 | 20150717072517 | NULL               |    89332469 |       40 | wikitext           |
| 26840060 |              1 | Q10417927                                             |                   |            0 |                0 |           0 |     0.728502847671 | 20160627224131 | 20160627224131     |   351695979 |      167 | wikitext           |
| 17254254 |              1 | Q10418210                                             |                   |            0 |                0 |           1 |     0.753496395727 | 20150717072517 | 20140110084756     |    99834988 |       40 | wikitext           |
| 16879024 |              1 | Q10418431                                             |                   |            0 |                0 |           1 |     0.716361770485 | 20150717072517 | NULL               |    89333319 |       40 | wikitext           |
| 16237878 |              1 | Q1042245                                              |                   |            0 |                0 |           1 |      0.58960908635 | 20160820102857 | 20160820105224     |    65451378 |     1324 | wikitext           |
| 16237887 |              1 | Q1042256                                              |                   |            0 |                0 |           1 |     0.835265117584 | 20160820102857 | 20160820105143     |    65453624 |     1324 | wikitext           |
| 16722827 |              1 | Q10426                                                |                   |            0 |                0 |           1 |     0.627850386691 | 20131009165725 | NULL               |    76031069 |      157 | wikitext           |
| 16238123 |              1 | Q1042619                                              |                   |            0 |                0 |           1 |     0.769613167221 | 20160820102857 | 20160820105041     |    65496757 |     1298 | wikitext           |
| 16238132 |              1 | Q1042646                                              |                   |            0 |                0 |           0 |     0.661104403303 | 20160820102857 | 20160820104935     |    66085622 |     1333 | wikitext           |
| 21457953 |              1 | Q1043195                                              |                   |            0 |                0 |           1 |     0.419617108088 | 20150504142238 | 20150504142236     |   214253279 |      203 | wikitext           |
| 17966138 |              1 | Q10432879                                             |                   |            0 |                0 |           1 |     0.405599803387 | 20140416090915 | 20140416090915     |   120934229 |      195 | wikitext           |
| 16879116 |              1 | Q10433500                                             |                   |            0 |                0 |           1 |     0.450988134414 | 20150717072517 | NULL               |    89342582 |       40 | wikitext           |
| 16879123 |              1 | Q10436166                                             |                   |            0 |                0 |           1 |     0.650350704926 | 20150717072517 | NULL               |    89342842 |       40 | wikitext           |
| 20173880 |              1 | Q10441458                                             |                   |            0 |                0 |           1 |     0.633177168204 | 20141217174700 | 20141217174621     |   181832289 |      411 | wikitext           |
